date,sales
2024-01-01,50.91
2024-01-02,48.06
2024-01-03,54.61
2024-01-04,56.33
2024-01-05,48.78
2024-01-06,51.82
2024-01-07,57.15
2024-01-08,56.81
2024-01-09,58.64
2024-01-10,57.0
2024-01-11,62.98
2024-01-12,63.39
2024-01-13,61.89
2024-01-14,65.61
2024-01-15,64.09
2024-01-16,60.48
2024-01-17,64.44
2024-01-18,60.64
2024-01-19,66.26
2024-01-20,63.49
2024-01-21,63.02
2024-01-22,61.39
2024-01-23,66.89
2024-01-24,62.48
2024-01-25,61.32
2024-01-26,61.17
2024-01-27,63.39
2024-01-28,62.43
2024-01-29,62.08
2024-01-30,61.63
2024-01-31,66.25
2024-02-01,58.1
2024-02-02,57.29
2024-02-03,55.92
2024-02-04,59.77
2024-02-05,60.9
2024-02-06,56.82
2024-02-07,54.34
2024-02-08,54.16
2024-02-09,58.42
2024-02-10,58.6
2024-02-11,57.99
2024-02-12,54.44
2024-02-13,57.29
2024-02-14,57.19
2024-02-15,57.84
2024-02-16,60.22
2024-02-17,58.79
2024-02-18,60.76
2024-02-19,59.61
2024-02-20,61.04
2024-02-21,62.91
2024-02-22,57.55
2024-02-23,61.93
2024-02-24,62.51
2024-02-25,63.08
2024-02-26,65.29
2024-02-27,71.74
2024-02-28,65.83
2024-02-29,72.51
2024-03-01,65.74
2024-03-02,70.96
2024-03-03,73.62
2024-03-04,76.02
2024-03-05,77.5
2024-03-06,78.81
2024-03-07,76.39
2024-03-08,77.0
2024-03-09,81.85
2024-03-10,79.52
2024-03-11,77.0
2024-03-12,78.09
2024-03-13,79.3
2024-03-14,84.04
2024-03-15,83.37
2024-03-16,85.32
2024-03-17,82.19
2024-03-18,84.07
2024-03-19,85.52
2024-03-20,82.68
2024-03-21,84.86
2024-03-22,81.31
2024-03-23,81.95
2024-03-24,81.58
2024-03-25,78.77
2024-03-26,83.4
2024-03-27,80.08
2024-03-28,81.05
2024-03-29,81.95
2024-03-30,81.34
