hours_studied,marks,gender,subject,study_method,attempts
5.61,54.04,Male,English,Solo,2
2.92,30.0,Female,Science,Solo,2
6.5,70.46,Female,History,Group,3
6.88,52.76,Female,English,Group,3
1.1,30.0,Female,History,Solo,1
2.4,30.0,Female,History,Solo,3
5.26,53.2,Male,Math,Solo,2
4.37,49.99,Male,Science,Solo,1
4.97,55.24,Male,English,Solo,3
3.29,34.28,Female,History,Solo,1
6.76,61.36,Male,Math,Solo,2
6.56,69.75,Male,Science,Solo,3
5.13,43.56,Male,English,Group,1
7.25,60.26,Male,History,Group,1
5.94,68.81,Male,Math,Solo,2
3.28,38.52,Male,English,Solo,3
5.74,57.84,Male,Science,Solo,1
3.08,30.0,Male,Math,Solo,2
6.76,63.05,Male,English,Group,2
4.9,61.55,Male,Science,Group,1
4.63,46.55,Female,English,Group,3
3.64,40.68,Male,Science,Group,3
7.45,72.62,Male,History,Group,2
4.69,44.86,Male,Math,Group,1
4.14,45.7,Female,History,Solo,1
4.3,59.03,Female,Math,Solo,2
6.06,69.91,Female,English,Solo,2
5.73,51.88,Male,Science,Solo,2
5.83,52.92,Male,Science,Solo,1
5.86,69.77,Male,Math,Group,2
9.28,100.0,Female,English,Group,1
4.19,36.93,Female,Math,Solo,3
3.98,32.73,Female,English,Solo,3
3.37,36.57,Female,English,Solo,2
6.23,49.33,Female,History,Solo,1
7.26,74.06,Female,English,Group,3
4.77,33.74,Female,Science,Solo,1
3.32,30.0,Male,English,Group,3
3.35,36.86,Male,History,Solo,1
6.3,53.12,Female,Science,Solo,2
6.49,68.97,Male,Math,Solo,1
6.09,57.96,Male,History,Group,1
3.67,30.0,Female,Math,Group,3
5.46,45.92,Male,English,Solo,3
5.23,40.99,Female,Math,Group,1
5.44,45.88,Female,Math,Solo,3
6.74,56.31,Male,History,Group,1
5.45,59.55,Female,Math,Solo,1
6.36,66.48,Female,English,Solo,1
5.14,54.49,Female,English,Group,2
5.58,46.01,Male,Math,Solo,1
6.26,62.77,Female,Math,Solo,2
2.09,36.97,Female,History,Solo,1
4.36,50.85,Female,English,Solo,1
4.06,40.35,Male,Math,Group,2
3.72,32.94,Male,History,Group,3
4.45,42.72,Female,Science,Group,3
